"SEQN","FPCA_score_1","FPCA_score_2","FPCA_score_3"
63190,103.17663132276,-253.473115588417,-82.3296647370858
63192,-1237.23668945237,-74.3475408990455,-87.6656058664626
63194,1173.01452610177,57.5098858598503,780.583891044823
63195,-85.0615750799494,172.01179599194,-44.3522610040641
63198,-833.313365405409,-428.346832592536,-333.861752578839
63200,-276.986320631627,-39.8308861283059,306.423971289694
63203,-1657.08955055723,64.0842512235414,27.9210084723763
63205,-1068.67060781048,278.028624195851,-5.64823387349364
63212,-1589.04885607604,-52.0614479183245,-116.773833952709
63215,-846.560682127537,194.341070326089,-119.9688578617
63216,771.596884933131,-424.365869176406,-542.678953673474
63221,-1060.45982806348,109.908651521134,198.772391608453
63222,-42.730468853113,-388.86339690615,148.895132963805
63223,1273.91235087699,603.589404595631,358.750174592883
63225,916.854737916297,43.1025438371954,-222.921093802334
63235,-1666.25256437782,132.583006831276,1.77576336727816
63236,-930.173402960591,-31.0514501456432,56.4456316210558
63242,5430.9323445326,1229.43478460799,694.6429433666
63248,-33.3821251110473,437.958990245602,-75.9600146655584
63249,554.657694867111,16.673022589428,255.913850858486
63254,-845.76189522997,-90.9606999601584,121.722190107044
63262,-256.294573396253,61.0336035427463,240.100209277893
63263,-483.265519466839,60.2006916488353,5.69870958008264
63267,-1473.32044548018,-31.8231000757312,-32.2782535297478
63269,-494.018912421056,-512.729198101086,-26.1685387876413
63273,1266.60581391402,1461.9845058935,-758.142845827455
63276,-988.355745538348,168.203940800283,45.9169826383954
63284,-852.259621011361,200.238931707398,53.4022681586015
63285,-1200.28668100848,255.669970186523,-100.963281333575
63287,-1319.03563444953,130.32986139017,82.9427711805264
63293,532.736960862981,223.433237680637,351.953113595308
63295,39.2150903533894,264.803465940003,288.761776943637
63296,596.61352292547,-245.750101457885,6.95193670228187
63297,140.725601170446,137.201703717012,86.2926431490774
63301,-140.792512110437,-317.512572480542,473.79086261351
63310,-1310.03093800787,131.721951912617,-62.3105175259044
63311,1400.1877741817,63.2593718505971,122.832674146317
63312,-1547.70725021625,172.496095732363,10.5998579376195
63313,-314.007742927127,-157.270433740928,-414.185386524328
63326,92.7366145125674,-506.591918829445,43.5906252575318
63328,-1277.03225513457,64.1490074171535,34.0132149308812
63329,738.22427564588,-375.533020141372,56.7344625212474
63330,1013.96308101788,-373.974726705706,588.432168598827
63333,1257.43433690033,194.198386035374,515.228055227354
63345,-391.878816429265,-415.167379732254,245.535752168167
63352,1143.33871315156,175.178390121517,-134.652376206174
63360,-1613.98138960132,122.895756016171,58.8861649083788
63361,661.799559887395,76.350189137984,-338.438425693725
63363,-1218.66536195617,158.850926344866,25.5414291611949
63364,-1732.22002868078,53.6273148950694,-2.65858430989807
63365,713.634046562426,159.864566692292,-46.5400014889137
63383,696.608272408313,367.12796449366,-751.621155260165
63385,-181.017186902133,-291.75885473223,149.330409725835
63389,-9.90773447408407,353.888865071758,190.70144123486
63390,-742.911546391946,-119.419233995893,340.354156698233
63391,1646.17835409325,844.646175411141,-561.785561766999
63396,-75.137066532584,-158.326751407136,125.625074258479
63397,163.951210764191,37.915515162433,209.21865519668
63398,-1068.44355005032,156.09593555395,-99.0433638963879
63405,323.139120032856,-553.555574361336,-127.614464366889
63409,-531.336641399419,-449.456272656353,6.87980524448441
63413,-242.456489442887,-272.170748967168,187.676717561823
63420,-1008.5594952651,-385.409969084598,-29.3594962087334
63422,-1774.4827450357,69.3268870127221,-12.4202958816657
63426,1396.63823202897,1819.54759842335,142.450131034185
63438,-197.476777055005,306.267154034213,-149.340873456275
63439,-102.987954024945,342.311036162285,-65.1566952663305
63440,647.292527872579,-666.37433080505,265.227240883563
63442,-153.160794439461,-447.131456646928,-141.822728021584
63448,-1365.69819296805,28.1816692719157,-111.95235425178
63456,-636.374410111779,-279.798321632782,93.3521938152003
63459,-670.087748435169,474.21834309205,-265.562349447049
63463,2082.89777259596,-476.990397835838,66.5582180703521
63465,1017.21768181727,281.01270770211,-277.509382861844
63468,920.467907921751,-357.916399305034,414.366839430379
63471,-1097.36456920197,147.730272061393,5.98810123133062
63474,-684.428600127698,492.832350545308,-392.198155755814
63478,-609.267311028055,253.971653424634,-132.641703107348
63484,808.36342439804,44.520250855012,344.97799308771
63491,222.49447720123,-554.671709607857,41.8061196796912
63496,986.125227231875,268.024573814286,16.1000193794672
63498,77.361887558242,163.21327869654,143.999709778839
63502,-1084.12820959343,326.433590323412,-42.3631376276756
63506,-35.6416626670272,-1014.57335686327,-206.162429472244
63507,-1410.57771505191,-5.5599885697194,-213.103126116503
63510,-449.11130534536,47.7516498198366,-239.969514688997
63512,1132.04806137033,495.725415305329,1016.0064452872
63514,-1245.73280191046,287.52755280262,-157.718832784069
63515,427.387489926603,-27.0644594519611,406.304533465685
63516,3214.25568700267,-69.6338642000383,311.109732027321
63519,1299.69970591711,73.8664058557811,-254.849165642189
63524,-80.3498229092499,-38.8215175101592,202.546209793214
63530,-888.857082713285,235.349483250053,-17.5894174803628
63532,235.075575077529,-57.8017790606197,130.035878175377
